maskapai,asal,tujuan,tahun,penumpang,harga
mataram,PKU,BTH,2016,116,2204120
mataram,BTO,HLP,2016,68,1189896
mataram,BTO,BTH,2014,92,2165603
rajawali,PKU,BTH,2016,144,2795136
mataram,BTO,SRG,2014,184,3632981
rajawali,PKU,BTH,2017,124,2381063
country link,JOG,BTH,2016,112,2116789
water asia,BTO,BTH,2015,172,3381396
country link,KNO,SRG,2016,106,1980098
country link,BTO,UPG,2015,174,3418052
macan,BTO,HLP,2016,62,1049518
macan,CGK,DPS,2014,170,3347099
macan,BTO,BTH,2015,85,1569114
rajawali,CGK,UPG,2016,75,1353619
country link,CGK,UPG,2014,158,3077361
macan,PKU,UPG,2014,63,1086014
rajawali,BTO,HLP,2014,172,3372843
rajawali,BTO,UPG,2015,149,2889189
country link,CGK,SRG,2016,95,1764214
mataram,PKU,UPG,2015,99,1849782
country link,JOG,SRG,2016,167,3282614
water asia,CGK,SRG,2016,113,2136436
macan,BDO,PDG,2017,67,1171561
country link,BDO,UPG,2016,74,1337498
macan,PKU,BTH,2016,83,1518929
mataram,BTO,SRG,2014,132,2542306
macan,BDO,BTH,2014,142,2741803
country link,BDO,BTH,2017,174,3425183
water asia,KNO,HLP,2017,64,1115424
rajawali,KNO,SRG,2016,129,2471187
rajawali,KNO,DPS,2014,89,1637695
mataram,BTO,SRG,2017,173,3385664
macan,BDO,BTH,2016,191,3783265
water asia,BDO,PDG,2014,173,3396327
country link,BTO,DPS,2017,92,1708022
macan,CGK,BTH,2014,140,2694620
country link,BDO,BTH,2017,113,2124181
mataram,CGK,UPG,2016,65,1124086
macan,BTO,BTH,2017,73,1290987
rajawali,BTO,DPS,2017,176,3447540
macan,PKU,UPG,2014,157,3064435
country link,KNO,UPG,2016,167,3257794
macan,JOG,PDG,2016,128,2443741
macan,KNO,SRG,2017,77,1386086
rajawali,JOG,DPS,2015,90,1651128
rajawali,JOG,PDG,2015,80,1455942
mataram,BDO,HLP,2017,157,3057248
rajawali,KNO,DPS,2014,159,3095101
country link,JOG,DPS,2016,128,2454679
water asia,PKU,UPG,2015,91,1674937
mataram,JOG,DPS,2014,95,1780537
water asia,BTO,BTH,2017,70,1242949
water asia,PKU,SRG,2016,64,1117310
country link,CGK,UPG,2016,73,1318380
mataram,BDO,DPS,2016,186,3677092
country link,KNO,DPS,2017,166,1788901
rajawali,KNO,HLP,2016,93,1720755
macan,PKU,DPS,2015,84,1534911
macan,CGK,UPG,2014,167,3280134
water asia,JOG,PDG,2014,81,1470539
macan,PKU,UPG,2017,156,3032074
macan,KNO,HLP,2017,112,2111274
mataram,KNO,PDG,2017,78,1409497
country link,JOG,SRG,2016,113,2123816
water asia,KNO,BTH,2016,71,1265764
macan,BTO,PDG,2015,135,2589132
country link,PKU,DPS,2014,109,2050685
macan,BTO,SRG,2016,102,1900793
country link,CGK,SRG,2014,111,2091487
water asia,KNO,DPS,2016,167,3267785
water asia,BDO,PDG,2015,176,3460005
water asia,KNO,BTH,2014,76,3239382
country link,PKU,SRG,2014,73,1314463
macan,KNO,DPS,2015,87,1592855
water asia,KNO,DPS,2016,83,1513143
macan,BDO,BTH,2014,115,2167426
macan,CGK,PDG,2015,80,1449883
macan,BTO,HLP,2015,106,1981189
macan,BDO,DPS,2017,169,3312023
water asia,PKU,PDG,2016,186,3668168
water asia,PKU,PDG,2016,157,3045969
water asia,CGK,HLP,2016,72,1290519
country link,PKU,UPG,2016,91,1672683
macan,BDO,SRG,2016,168,3297839
mataram,BDO,SRG,2017,159,3086928
mataram,BDO,SRG,2014,64,1115010
water asia,JOG,PDG,2015,156,1741264
water asia,JOG,UPG,2015,77,1391899
rajawali,BDO,HLP,2016,84,1537351
mataram,PKU,UPG,2014,114,2142015
country link,BTO,PDG,2015,115,2178161
macan,KNO,PDG,2015,128,2448909
mataram,PKU,UPG,2016,109,2055187
rajawali,PKU,PDG,2015,153,2964878
rajawali,BDO,SRG,2015,168,3287785
mataram,BDO,HLP,2017,118,2236233
rajawali,BDO,DPS,2017,108,2034626
macan,BTO,DPS,2017,195,3867987
rajawali,KNO,SRG,2015,145,2811938
rajawali,BTO,SRG,2017,156,3031380
rajawali,BDO,HLP,2014,105,1968167
water asia,CGK,DPS,2016,124,2377780
rajawali,JOG,SRG,2015,104,1935718
country link,KNO,BTH,2017,168,3307189
macan,CGK,BTH,2015,187,3697420
macan,KNO,HLP,2015,197,3919953
rajawali,CGK,SRG,2017,64,1114925
mataram,PKU,DPS,2014,112,2115579
water asia,KNO,DPS,2015,197,3924253
country link,KNO,BTH,2016,95,1759375
rajawali,BDO,DPS,2016,152,2955629
macan,BDO,SRG,2016,122,2333175
water asia,KNO,PDG,2017,174,3410508
macan,JOG,DPS,2015,69,1217885
mataram,PKU,PDG,2015,159,3108196
water asia,KNO,DPS,2017,166,3234928
water asia,PKU,UPG,2015,83,2430825
water asia,CGK,HLP,2017,94,1746820
water asia,BDO,BTH,2016,198,3952837
mataram,CGK,BTH,2016,152,2948396
country link,JOG,BTH,2017,82,1493526
mataram,BDO,UPG,2015,178,3484659
country link,CGK,HLP,2016,118,2914811
mataram,CGK,DPS,2017,182,3583115
country link,BDO,HLP,2016,192,3805811
rajawali,BTO,UPG,2015,169,3308519
mataram,BDO,DPS,2017,171,3354102
mataram,JOG,DPS,2015,151,2928172
mataram,JOG,UPG,2014,172,3369743
country link,BTO,DPS,2015,145,2804052
rajawali,BDO,HLP,2017,119,2251940
rajawali,BDO,SRG,2017,112,2111598
water asia,CGK,SRG,2017,162,3164104
mataram,BTO,BTH,2015,200,3984825
mataram,BDO,SRG,2017,73,1316870
macan,KNO,DPS,2016,153,2973512
country link,KNO,DPS,2017,162,3152969
country link,BTO,UPG,2015,160,3110534
rajawali,PKU,PDG,2017,153,2970092
water asia,PKU,PDG,2015,170,3334859
country link,BTO,UPG,2016,68,1199848
macan,JOG,SRG,2014,193,3831342
water asia,BDO,DPS,2016,62,1052194
country link,PKU,DPS,2014,102,1913602
macan,BTO,SRG,2015,95,1758690
country link,BTO,SRG,2016,106,1991535
macan,BTO,SRG,2017,163,3176956
rajawali,CGK,BTH,2014,148,2854707
macan,CGK,SRG,2016,106,1986191
water asia,PKU,DPS,2014,196,3907594
country link,BDO,DPS,2017,170,3347428
country link,JOG,HLP,2017,97,1815420
water asia,BDO,UPG,2017,133,2547943
macan,BTO,PDG,2015,98,1832655
mataram,BDO,UPG,2017,95,1771847
country link,PKU,HLP,2016,152,2944159
rajawali,PKU,UPG,2016,105,1954810
country link,BTO,PDG,2017,131,2511434
macan,CGK,DPS,2014,180,3538266
mataram,KNO,UPG,2017,116,2184210
mataram,JOG,HLP,2014,179,3509345
macan,JOG,PDG,2015,158,3073817
mataram,BTO,PDG,2014,90,1655958
water asia,JOG,PDG,2017,63,1085742
water asia,PKU,PDG,2015,168,3300568
water asia,KNO,HLP,2016,88,1609212
rajawali,BTO,SRG,2016,149,2883806
mataram,BTO,UPG,2017,75,1356639
macan,PKU,HLP,2014,164,3207554
water asia,BTO,HLP,2014,76,1375766
water asia,PKU,SRG,2016,84,1541401
water asia,KNO,HLP,2014,136,2617738
rajawali,PKU,PDG,2015,200,3979693
country link,PKU,BTH,2014,185,3642891
water asia,BTO,DPS,2016,80,1449163
mataram,BTO,HLP,2014,164,3197303
water asia,KNO,HLP,2016,177,3478802
mataram,BDO,PDG,2017,90,1656642
water asia,JOG,HLP,2014,195,3879105
country link,BTO,SRG,2017,145,2803917
rajawali,JOG,BTH,2014,75,1345144
mataram,BDO,DPS,2014,151,2925315
macan,KNO,SRG,2014,113,2133078
mataram,CGK,SRG,2015,90,1653590
water asia,KNO,BTH,2014,139,2687868
water asia,BDO,DPS,2014,181,3569215
macan,CGK,HLP,2015,104,1941753
country link,CGK,PDG,2017,189,3750299
macan,BDO,HLP,2015,160,3127743
macan,BTO,HLP,2016,150,2914031
water asia,CGK,HLP,2016,198,3936837
mataram,JOG,DPS,2015,185,3657053
mataram,PKU,BTH,2015,145,2810441
rajawali,JOG,UPG,2014,193,3838767
water asia,JOG,SRG,2014,143,2760617
water asia,BTO,SRG,2016,170,3339496
rajawali,KNO,HLP,2014,173,3391047
rajawali,BTO,BTH,2014,193,3828107
mataram,BDO,BTH,2015,199,3972843
macan,JOG,SRG,2017,120,2278789
country link,PKU,SRG,2017,196,3906900
water asia,BTO,SRG,2014,88,1615137
country link,BTO,PDG,2017,87,1598130
country link,CGK,DPS,2016,140,2708795
water asia,PKU,UPG,2017,113,2121714
macan,PKU,DPS,2017,78,1415442
country link,JOG,UPG,2014,171,3368483
mataram,CGK,PDG,2014,176,3457233
mataram,BDO,UPG,2017,88,1606000
country link,BTO,PDG,2017,173,3397867
mataram,JOG,HLP,2015,91,1683758
country link,JOG,PDG,2017,144,2774680
country link,CGK,SRG,2017,104,1951003
water asia,BTO,DPS,2014,149,2874279
country link,BTO,DPS,2015,73,1309324
country link,BTO,HLP,2017,127,2432519
country link,CGK,SRG,2015,125,3961847
water asia,KNO,BTH,2014,198,3941331
water asia,PKU,DPS,2017,182,3583963
rajawali,KNO,SRG,2014,141,1641365
country link,PKU,PDG,2014,173,3387538
mataram,CGK,BTH,2015,135,2587871
macan,BTO,SRG,2015,134,2566866
mataram,KNO,PDG,2017,130,2495625
mataram,BDO,HLP,2017,130,2499748
country link,BDO,SRG,2014,137,2646210
rajawali,KNO,UPG,2015,137,2640379
water asia,KNO,SRG,2016,101,1883649
macan,CGK,UPG,2015,127,1487166
macan,BTO,PDG,2015,115,2161347
rajawali,PKU,DPS,2016,100,1865460
mataram,BTO,DPS,2016,161,3139294
water asia,JOG,SRG,2014,78,1413844
water asia,CGK,PDG,2016,81,1473474
rajawali,BTO,UPG,2016,103,1917288
macan,CGK,BTH,2017,91,1684962
macan,KNO,UPG,2014,112,2095196
water asia,CGK,PDG,2016,126,2403386
mataram,KNO,BTH,2015,84,1541561
water asia,BDO,PDG,2017,147,2835735
rajawali,CGK,UPG,2017,153,2970848
macan,CGK,UPG,2017,175,3441818
country link,CGK,UPG,2014,119,2251532
country link,BDO,HLP,2016,155,3013617
water asia,BTO,BTH,2015,91,1677607
macan,BDO,DPS,2014,80,1457097
rajawali,KNO,PDG,2015,133,2546348
macan,PKU,DPS,2017,149,2890081
mataram,BTO,BTH,2014,80,1450567
water asia,PKU,SRG,2014,123,2339763
macan,CGK,DPS,2017,156,3031959
country link,KNO,BTH,2014,73,1313073
rajawali,KNO,SRG,2014,95,1769837
country link,KNO,DPS,2015,83,1526270
macan,KNO,PDG,2014,101,1886781
mataram,BDO,PDG,2016,115,2171371
rajawali,JOG,DPS,2017,76,1376131
mataram,PKU,DPS,2015,67,1168970
macan,JOG,HLP,2014,149,2879498
water asia,CGK,PDG,2016,71,1248170
water asia,BDO,HLP,2017,160,3125882
macan,BDO,PDG,2015,196,3891743
macan,BTO,PDG,2016,106,1983432
mataram,PKU,BTH,2016,69,1222997
rajawali,BDO,HLP,2016,180,3558542
mataram,JOG,HLP,2016,118,2231633
country link,CGK,HLP,2015,122,2325568
macan,JOG,BTH,2017,144,2797226
country link,KNO,SRG,2015,180,3554761
macan,CGK,SRG,2017,142,2746033
mataram,JOG,PDG,2017,174,3415632
rajawali,CGK,HLP,2015,190,3774256
rajawali,KNO,HLP,2014,175,3429893
mataram,JOG,HLP,2015,178,3485179
rajawali,JOG,PDG,2016,158,3070794
macan,PKU,BTH,2014,183,3603979
mataram,KNO,BTH,2014,194,3847159
rajawali,JOG,UPG,2015,132,2529815
mataram,BTO,SRG,2015,116,2203155
country link,JOG,UPG,2015,136,2608961
country link,KNO,PDG,2017,171,3357015
country link,BTO,SRG,2016,159,3096710
macan,CGK,BTH,2017,134,2561538
mataram,JOG,HLP,2017,111,2090675
macan,PKU,BTH,2014,146,2819378
country link,JOG,DPS,2016,141,2721902
mataram,BTO,UPG,2017,181,3576934
country link,BTO,SRG,2014,133,2544025
water asia,BTO,BTH,2017,167,3283102
water asia,CGK,BTH,2015,165,3223662
country link,CGK,HLP,2017,144,2783514
water asia,CGK,UPG,2017,146,2828853
rajawali,BDO,BTH,2017,95,1762529
water asia,CGK,HLP,2017,71,1251797
country link,CGK,SRG,2014,74,1333657
macan,CGK,UPG,2016,87,1604319
country link,PKU,SRG,2015,96,1790134
rajawali,PKU,BTH,2015,136,2601967
mataram,PKU,SRG,2015,129,2473267
mataram,CGK,SRG,2014,105,1955512
country link,BDO,PDG,2016,119,2245594
water asia,BTO,SRG,2017,152,2957084
water asia,BTO,DPS,2015,74,1341576
country link,PKU,UPG,2017,75,1352679
water asia,BTO,PDG,2017,66,1157960
macan,PKU,SRG,2014,65,1136034
mataram,BDO,PDG,2015,158,3074294
macan,BDO,PDG,2016,92,1695525
macan,BDO,PDG,2017,134,2574491
water asia,BDO,DPS,2017,94,3035291
country link,BTO,PDG,2015,85,1568637
country link,BTO,HLP,2015,189,3748499
country link,JOG,BTH,2014,176,3451447
water asia,KNO,UPG,2016,110,2063505
water asia,BDO,DPS,2014,182,3589026
country link,BTO,DPS,2015,147,2839592
rajawali,JOG,SRG,2016,69,1216711
country link,BTO,SRG,2015,112,2102904
mataram,BDO,UPG,2015,120,1431482
water asia,BTO,SRG,2016,118,2239514
macan,CGK,HLP,2016,65,1132722
water asia,BDO,PDG,2015,125,2385312
country link,BTO,SRG,2014,80,1444088
macan,JOG,PDG,2017,144,2784735
water asia,BDO,BTH,2017,196,3895766
water asia,JOG,BTH,2015,133,2548362
macan,JOG,SRG,2015,173,3398306
macan,JOG,UPG,2014,79,1427757
mataram,KNO,SRG,2016,163,3192757
rajawali,PKU,BTH,2015,60,1011083
water asia,PKU,UPG,2017,130,2484073
rajawali,CGK,PDG,2016,190,3766519
rajawali,CGK,DPS,2014,77,1382412
macan,BDO,DPS,2015,119,2241505
macan,JOG,DPS,2016,63,1287172
country link,CGK,BTH,2014,90,1655774
macan,BDO,UPG,2016,120,2294253
rajawali,CGK,UPG,2014,70,1240209
macan,KNO,DPS,2017,161,3145609
rajawali,BDO,HLP,2016,66,1148094
country link,BDO,UPG,2015,105,1962562
rajawali,PKU,SRG,2015,82,1497212
mataram,BTO,DPS,2014,171,3363983
rajawali,BDO,UPG,2015,140,2712036
macan,BTO,UPG,2017,190,3770074
mataram,BDO,HLP,2017,185,3640229
country link,CGK,HLP,2016,76,1371482
water asia,KNO,UPG,2017,173,3392118
country link,JOG,SRG,2016,110,2061138
rajawali,CGK,UPG,2014,181,3574560
mataram,CGK,SRG,2016,138,2660455
water asia,KNO,DPS,2016,90,1664185
mataram,BDO,SRG,2015,84,1535505
country link,KNO,UPG,2017,198,3932520
mataram,PKU,DPS,2014,79,1424696
country link,BTO,PDG,2017,128,2445361
mataram,CGK,HLP,2017,65,1133663
water asia,JOG,UPG,2014,159,3003178
country link,KNO,UPG,2014,183,3612819
country link,BDO,HLP,2014,106,1988754
mataram,BDO,BTH,2014,74,1328430
water asia,CGK,UPG,2016,137,2487237
mataram,PKU,HLP,2016,192,3810520
mataram,CGK,BTH,2015,144,2778033
rajawali,JOG,UPG,2015,195,3871614
rajawali,KNO,BTH,2015,128,2446206
rajawali,JOG,BTH,2016,161,3147549
rajawali,KNO,BTH,2015,66,1164103
macan,BDO,DPS,2016,81,1461400
country link,KNO,UPG,2017,135,2591747
water asia,CGK,DPS,2017,105,1954204
rajawali,KNO,UPG,2016,123,2345057
macan,KNO,HLP,2016,109,2044330
water asia,JOG,UPG,2016,118,2227614
mataram,CGK,PDG,2016,86,1577852
mataram,PKU,PDG,2016,190,3757200
mataram,BTO,BTH,2014,82,1489307
water asia,CGK,SRG,2014,73,1302815
rajawali,PKU,BTH,2017,183,3617401
mataram,PKU,UPG,2015,88,1605518
rajawali,CGK,DPS,2017,65,1125055
macan,PKU,UPG,2017,144,2795784
water asia,BDO,UPG,2016,197,3915638
macan,KNO,BTH,2014,79,1442136
rajawali,BDO,UPG,2017,86,1582200
country link,KNO,BTH,2015,107,1999700
macan,KNO,PDG,2014,119,2267472
rajawali,BDO,PDG,2014,61,1036051
mataram,PKU,DPS,2017,74,1329049
rajawali,JOG,UPG,2015,163,3183912
rajawali,BDO,UPG,2014,117,2206773
macan,JOG,BTH,2017,117,2214785
mataram,JOG,BTH,2016,65,1128353
mataram,CGK,DPS,2014,65,1131373
macan,PKU,DPS,2014,191,3799399
mataram,BDO,SRG,2017,122,2329367
macan,JOG,SRG,2014,151,2934613
water asia,KNO,BTH,2016,71,1254456
mataram,BTO,UPG,2014,85,1554790
country link,PKU,BTH,2014,161,3147794
mataram,JOG,UPG,2015,140,2710860
water asia,PKU,DPS,2017,126,2415152
mataram,JOG,SRG,2016,107,1995845
water asia,BDO,SRG,2017,113,2137803
rajawali,PKU,SRG,2015,175,3442400
rajawali,KNO,UPG,2016,69,1225226
macan,BTO,DPS,2017,86,1571606
water asia,KNO,HLP,2014,150,2912839
country link,BDO,UPG,2015,194,3855631
water asia,PKU,PDG,2016,67,1176805
country link,BDO,SRG,2016,103,1923820
rajawali,BDO,PDG,2017,196,3907428
water asia,CGK,UPG,2015,113,2132581
country link,CGK,DPS,2017,99,1849821
mataram,JOG,UPG,2014,183,3617077
country link,BTO,BTH,2015,165,3220702
water asia,CGK,HLP,2014,125,2389027
mataram,BDO,UPG,2014,183,3597325
country link,PKU,DPS,2015,142,2750790
water asia,BTO,DPS,2015,181,3577399
mataram,BTO,BTH,2016,128,2449714
mataram,BTO,BTH,2017,167,3276405
water asia,JOG,DPS,2015,113,2134986
rajawali,JOG,BTH,2017,140,2694065
rajawali,JOG,DPS,2016,64,1092352
water asia,PKU,UPG,2015,199,3957849
mataram,JOG,SRG,2014,174,3419318
rajawali,JOG,PDG,2017,89,1633256
macan,BTO,SRG,2016,73,1301767
mataram,CGK,PDG,2016,196,3892713
macan,BDO,DPS,2017,169,3318213
country link,KNO,UPG,2017,83,1503805
rajawali,BDO,DPS,2014,146,2823369
water asia,PKU,HLP,2016,144,2778243
mataram,BDO,HLP,2016,124,2364113
water asia,BTO,DPS,2014,163,3188381
mataram,PKU,UPG,2016,112,2116255
rajawali,BDO,HLP,2015,81,1463586
country link,CGK,DPS,2017,71,1246034
mataram,KNO,UPG,2015,110,2068186
water asia,BTO,HLP,2017,100,1869240
macan,KNO,DPS,2017,188,3716086
macan,JOG,SRG,2014,111,2082913
country link,JOG,SRG,2017,176,3442576
mataram,PKU,PDG,2015,142,2736952
water asia,PKU,PDG,2014,88,1620526
water asia,CGK,PDG,2017,118,2227641
macan,JOG,HLP,2014,123,2357392
water asia,BTO,UPG,2017,98,1837945
macan,KNO,UPG,2014,79,1421485
macan,PKU,PDG,2016,153,2981190
rajawali,BTO,SRG,2015,112,2114085
mataram,BTO,HLP,2015,139,2687621
mataram,BTO,SRG,2016,164,3195335
water asia,KNO,DPS,2014,110,2074645
water asia,CGK,HLP,2014,165,3228868
water asia,PKU,DPS,2014,170,3346839
country link,PKU,SRG,2014,81,1459092
country link,CGK,UPG,2014,178,3499182
macan,JOG,UPG,2015,124,2367393
mataram,JOG,DPS,2016,171,3365629
water asia,PKU,BTH,2016,72,1287743
rajawali,KNO,UPG,2015,117,2207861
country link,PKU,PDG,2016,63,1077160
water asia,KNO,UPG,2017,159,3666148
rajawali,BDO,HLP,2015,125,2400929
mataram,BTO,PDG,2016,128,2444017
mataram,KNO,HLP,2015,110,2065384
macan,BDO,UPG,2015,117,2211580
macan,KNO,DPS,2016,143,2760439
water asia,JOG,DPS,2015,102,1906627
water asia,CGK,DPS,2017,90,1653227
water asia,JOG,PDG,2015,109,2050589
mataram,CGK,DPS,2017,77,1388555
mataram,BDO,UPG,2015,142,2736173
country link,BTO,HLP,2015,67,1182037
country link,JOG,UPG,2017,125,3893978
macan,BTO,UPG,2017,161,3142118
mataram,BTO,UPG,2017,92,1694285
macan,KNO,DPS,2014,71,1246571
rajawali,CGK,DPS,2014,139,2673878
water asia,BDO,DPS,2016,137,2642773
macan,KNO,UPG,2017,200,3986608
mataram,PKU,HLP,2017,169,3316570
rajawali,KNO,PDG,2017,150,2895535
water asia,CGK,SRG,2017,189,3756857
water asia,KNO,BTH,2014,148,2859267
macan,JOG,HLP,2014,107,1998555
macan,JOG,SRG,2017,146,2834302
water asia,JOG,UPG,2017,106,1991754
macan,KNO,SRG,2014,149,2888568
rajawali,PKU,HLP,2017,180,3549683
rajawali,CGK,UPG,2014,68,1203321
macan,BDO,UPG,2014,168,3289557
macan,BDO,BTH,2017,152,2958963
rajawali,BDO,PDG,2014,136,2615567
rajawali,PKU,UPG,2015,105,1971458
country link,BTO,UPG,2016,98,1819190
water asia,BDO,DPS,2017,167,3264162
water asia,CGK,HLP,2015,92,1698422
macan,BTO,SRG,2015,65,1120188
water asia,KNO,DPS,2017,185,3638298
mataram,KNO,BTH,2017,89,1638729
rajawali,BTO,BTH,2016,131,2507781
country link,BTO,HLP,2017,75,1346761
mataram,BTO,PDG,2015,121,2297298
country link,BDO,PDG,2014,140,2705052
mataram,BTO,BTH,2016,132,2525671
water asia,KNO,HLP,2016,119,2258272
mataram,JOG,BTH,2016,93,1732299
country link,JOG,UPG,2017,128,2450510
country link,BDO,PDG,2017,150,2906326
country link,CGK,PDG,2017,66,1159714
macan,BDO,BTH,2017,165,3227952
water asia,JOG,HLP,2016,168,3305088
rajawali,KNO,UPG,2015,190,3760610
mataram,CGK,SRG,2017,175,3437427
water asia,PKU,PDG,2017,190,3761515
water asia,PKU,PDG,2016,102,1901775
country link,KNO,PDG,2015,65,1134901
macan,BTO,DPS,2016,114,2151303
rajawali,BTO,BTH,2016,152,2937380
country link,KNO,PDG,2016,177,3468919
water asia,JOG,HLP,2015,130,2497791
macan,PKU,SRG,2016,120,2289285
mataram,CGK,UPG,2017,171,3352117
macan,CGK,BTH,2015,91,1671937
macan,CGK,HLP,2015,81,1468896
mataram,BDO,SRG,2014,98,1820814
rajawali,JOG,UPG,2014,118,2237443
water asia,CGK,BTH,2015,147,2850828
mataram,PKU,PDG,2014,191,3803712
rajawali,BTO,PDG,2015,86,1584417
country link,BTO,HLP,2015,60,1008167
water asia,JOG,SRG,2017,144,2775775
mataram,BDO,DPS,2014,190,3760452
rajawali,BDO,HLP,2015,180,3555775
mataram,JOG,DPS,2015,95,1770213
rajawali,CGK,UPG,2014,165,2802269
mataram,BTO,DPS,2017,125,2395515
country link,PKU,PDG,2014,147,2846901
country link,BTO,PDG,2017,200,3989166
macan,KNO,PDG,2017,149,2880502
country link,BDO,UPG,2015,183,3613454
water asia,PKU,PDG,2017,188,3709561
water asia,JOG,PDG,2014,72,1283386
country link,BTO,UPG,2016,75,1360685
country link,KNO,UPG,2016,174,3419956
mataram,BTO,SRG,2016,170,3344941
country link,BDO,BTH,2017,199,3959766
water asia,BTO,HLP,2015,169,3324262
water asia,PKU,UPG,2017,161,3147332
macan,JOG,DPS,2014,91,1670755
country link,KNO,HLP,2014,90,1660464
water asia,BDO,PDG,2015,197,3923177
mataram,BTO,DPS,2016,60,1013661
mataram,JOG,UPG,2015,114,2148955
country link,PKU,PDG,2015,100,1861673
water asia,JOG,DPS,2016,135,2598414
macan,JOG,DPS,2014,163,3194929
water asia,BDO,DPS,2016,196,3889256
macan,JOG,SRG,2017,188,3716752
country link,KNO,UPG,2016,90,1659488
mataram,KNO,BTH,2014,72,1283210
macan,JOG,BTH,2017,186,3666663
rajawali,BDO,HLP,2014,70,1232199
water asia,PKU,PDG,2016,78,1413640
water asia,BTO,PDG,2014,192,3815081
water asia,BTO,UPG,2016,119,2244360
macan,BDO,DPS,2017,123,2354137
macan,PKU,SRG,2016,171,3348863
macan,BTO,BTH,2017,84,1532338
water asia,BTO,UPG,2017,158,3071005
water asia,KNO,SRG,2016,169,3325911
macan,KNO,SRG,2017,77,1389077
mataram,BTO,PDG,2014,134,2571580
rajawali,BTO,DPS,2014,98,1826490
water asia,JOG,DPS,2016,116,2203940
rajawali,CGK,HLP,2017,99,1845764
macan,PKU,DPS,2014,93,1735939
country link,BDO,DPS,2015,121,2303013
rajawali,PKU,UPG,2014,105,1966015
macan,BTO,SRG,2016,106,1985186
rajawali,KNO,UPG,2016,136,2618410
water asia,CGK,UPG,2014,95,1778318
mataram,KNO,DPS,2015,137,2641315
rajawali,JOG,SRG,2015,76,1372810
country link,BTO,UPG,2016,150,2909007
macan,BDO,UPG,2014,164,3198878
water asia,BTO,DPS,2017,90,1661013
mataram,BDO,BTH,2017,82,1496847
country link,PKU,UPG,2015,143,2774377
water asia,JOG,SRG,2016,123,2339173
country link,BTO,SRG,2015,129,2458665
macan,KNO,PDG,2014,187,3699790
water asia,BTO,PDG,2015,72,1288490
water asia,CGK,HLP,2015,104,1938536
mataram,JOG,SRG,2017,121,2305568
macan,KNO,SRG,2014,179,3527467
water asia,CGK,HLP,2016,78,1396864
water asia,PKU,UPG,2014,101,3880373
rajawali,BTO,DPS,2015,81,1478501
mataram,PKU,BTH,2016,168,3297974
rajawali,PKU,DPS,2014,188,3717464
mataram,BDO,SRG,2017,66,1152141
country link,BTO,UPG,2015,157,3045712
macan,BTO,UPG,2016,135,2581804
rajawali,PKU,HLP,2015,132,2530784
country link,PKU,DPS,2014,112,2110476
rajawali,BDO,SRG,2016,200,3989431
mataram,KNO,HLP,2017,95,1758812
mataram,PKU,BTH,2014,134,2569686
macan,KNO,DPS,2017,86,1580306
mataram,KNO,SRG,2014,140,2707914
water asia,PKU,UPG,2016,115,2161498
mataram,KNO,HLP,2016,123,2340272
country link,BDO,UPG,2016,92,1689422
mataram,BDO,BTH,2014,101,1878480
macan,KNO,SRG,2014,180,3545922
water asia,BTO,DPS,2017,95,1770075
mataram,CGK,UPG,2017,122,2319424
mataram,PKU,BTH,2014,97,1805017
country link,JOG,PDG,2017,195,3880472
rajawali,CGK,PDG,2015,62,1041847
rajawali,PKU,HLP,2017,66,1150123
water asia,CGK,BTH,2017,197,3931434
rajawali,JOG,PDG,2014,61,1026712
mataram,KNO,UPG,2016,124,2375890
water asia,KNO,PDG,2015,132,2530548
country link,BTO,DPS,2017,145,2800847
macan,JOG,BTH,2017,142,2743950
country link,KNO,HLP,2014,72,1275042
macan,CGK,SRG,2017,132,2535614
macan,BTO,PDG,2015,103,1931459
rajawali,JOG,UPG,2017,197,3916587
water asia,CGK,HLP,2015,105,1960179
country link,PKU,BTH,2014,111,2084271
water asia,BTO,HLP,2014,99,1838047
macan,PKU,UPG,2014,113,2135721
rajawali,CGK,UPG,2017,194,3853684
macan,JOG,UPG,2017,134,2576980
country link,JOG,PDG,2016,162,3153279
country link,CGK,SRG,2016,95,1768986
macan,PKU,HLP,2016,136,2615072
water asia,KNO,SRG,2015,86,1582799
macan,JOG,DPS,2015,61,1034573
macan,BDO,DPS,2014,173,3387140
rajawali,BDO,PDG,2015,155,3020700
water asia,BDO,UPG,2017,169,3332641
water asia,JOG,BTH,2016,141,2729914
rajawali,BTO,PDG,2017,165,3222305
rajawali,BTO,DPS,2015,185,3637162
water asia,PKU,SRG,2014,167,3256434
water asia,KNO,DPS,2014,139,2672327
rajawali,BTO,DPS,2015,118,2232764
mataram,CGK,BTH,2014,192,3819989
water asia,BDO,PDG,2017,134,2573195
country link,PKU,BTH,2014,177,3469233
mataram,CGK,DPS,2016,118,2224202
macan,PKU,BTH,2016,106,1973892
country link,PKU,SRG,2017,163,3189199
mataram,KNO,PDG,2017,116,2204582
country link,CGK,PDG,2017,73,1318632
country link,KNO,PDG,2017,87,1594562
country link,BTO,PDG,2015,175,3429269
rajawali,BDO,BTH,2015,123,2342092
water asia,PKU,HLP,2015,183,3612818
country link,CGK,DPS,2015,166,3236654
rajawali,BDO,DPS,2015,153,2967998
mataram,KNO,DPS,2016,195,3871907
rajawali,BTO,BTH,2016,123,2346585
rajawali,BDO,BTH,2016,115,2172187
